band_gap,formation_energy_per_atom,full_formula,task_id
3.1565,-0.9399211111899994,Li2La2C4N8,mp-1189974
1.7407000000000004,-1.3424571174166675,Cd4Ni12Te6Pb2O36,mp-1194532
1.582,-0.7274734495511358,K8Zn4Sn8Se24,mp-1195072
3.0506999999999995,-2.3252706104887215,Mg8Bi32P16O96,mp-1199340
2.5056,-1.5176222806875004,Fe6Sb10I6O18,mp-1199909
3.7076,-1.4220631379679494,In8H48Cl24O24,mp-1201210
0.053300000000000125,-0.30245176999999995,Tb16Cd4Ni4,mp-1208455
5.2526,-1.1043493718612505,Tb2Cl6O24,mp-1208575
5.9442,-2.884576953767361,Mg6B14Br2O26,mp-1210659
2.9703000000000004,-2.517119046666666,Lu2Tl2W4O16,mp-1210736
0.3091999999999997,-0.5820340893055546,Lu16In4Rh4,mp-1210928
0.4546,-1.563365843708333,K8Co4O12,mp-1212013
1.6899000000000002,-1.4415034521428571,Ca12Sb4I12,mp-1214080
0.6455000000000002,-1.2479515141666664,Ba2Pr2Cu2Te6,mp-1214381
2.3468,-3.655112836631,Ba4Ca2Mn2V4F28,mp-1214724
2.0722000000000005,-1.9933303509510876,Nd6Mg1Ge2S14,mp-1220243
1.3197,-0.8510939953636854,Rb12Sb4Se16,mp-17638
0.0578000000000003,-2.873018431346,La4Mn2Co2O12,mp-19208
4.98,-2.5018934876575,Sr2H2Cl2O2,mp-24066
4.6838,-2.4302115507653324,Rb4S4F20,mp-28555
1.5168999999999997,-1.487655109071249,Y1H1Se1,mp-28797
1.4983000000000002,-1.4185642353571437,Hg14P4O20,mp-29958
0.0060999999999999934,-0.17131150166666606,Gd2Co4,mp-542633
1.854,-0.7747810460593335,Ag2N2O6,mp-552185
0.0014000000000002901,-0.6149981125988886,Li80Ge16N48,mp-531553
1.5128000000000004,-3.118711601203126,La20Ti8Ag4S20O28,mp-555253
2.2900000000000005,-3.0089301080555555,Ta4Sn2O12,mp-556489
4.1092,-3.3626722618488887,Na4Sr4Fe4F24,mp-556802
4.2083,-2.685215354544028,Mn12B28Cl4O52,mp-556656
3.344,-0.6726154613702879,Si2H34S6N10,mp-557080
3.327,-2.690807690545336,Rb16Mg8P16W8O80,mp-561031
4.5227,-1.9922538223185224,Rb24Zn12Cl48,mp-568350
1.3729,-1.5715955341049277,Ca18B4C8Cl16,mp-569892
1.2553,-0.7074128006736112,K12Nb8Cu4Se48,mp-6168
5.3819,-3.1432209265699407,Sr3B3P3O15,mp-6486
1.7154,-1.5722125648429806,Cs8Zr6S28,mp-680246
0.1583,-0.7086121844486367,Re4Se16Cl24,mp-680308
0.2208000000000001,-0.5989675830000003,Ca1Cd2As2,mp-7067
1.7662,-0.28704495587285705,K24H24Pd8,mp-707337
3.9748,-1.9303220065097957,Mn2P4H16O20,mp-721692
1.6390000000000002,-2.29353109402125,La10C4Cl18,mp-619791
1.6359,-2.5605066959663865,V1P6W3O24,mp-760032
3.4413,-3.735695369818628,La26B8O51,mp-759763
2.5975,-2.849049546554622,Nb3Cr1P6O24,mp-774426
1.9786,-1.5964212397000004,K4Zn2O4,mp-8187
3.1969000000000003,-2.971194808,Na2Pr2O4,mp-8470
0.234,-0.9172525525000004,Ca2Sb1Au1,mp-861950
2.1789,-2.510295279107144,Sr4Dy8S16,mp-980666
0.1352000000000002,-1.357579246857,Ca6Sn2N1F1,mp-989590
1.4771,-1.6829899191964282,Lu4Mg2Se8,mp-10191
5.5484,-2.7550768061844906,Rb8Li12B4P16O56,mp-1020705
1.1054000000000002,-0.7409947737522327,Na3P1Se4,mp-1078419
0.8096999999999999,-0.5073910221999995,K4As4Pt2,mp-1079513
4.7905000000000015,-3.7353274337500006,Tm2Si2O7,mp-1095467
4.1394,-1.8367294361913795,Cs2Na1Pr1Br6,mp-1112146
4.9056,-2.4747889654818627,Cs2Rb1Sm1Cl6,mp-1112118
1.3351000000000002,-0.43508739366285776,Fe1P1H12C4Br4,mp-1190395
2.4046,-1.1459742300982143,Na12Sb4S12,mp-1193673
1.0925000000000002,-1.7406336480902778,La8Cu4Bi4S20,mp-1195675
3.6348,-3.8188117086458337,Ba4La8Sc8O28,mp-1197417
2.6382,-2.732699713858572,Nd8Mo8Cl8O32,mp-1199278
3.6993,-2.6279322469776933,Sn12Sb4F36,mp-1201723
1.2466,-1.01040418984127,Ca6Al4P8,mp-1205337
3.7175,-1.985310850456,Li1Sc1Tl2Cl6,mp-1205649
3.0372000000000003,-2.8909216164928075,Rb2Fe1F4,mp-1206640
2.8099000000000003,-1.9455288627500007,Na4V16Bi52O120,mp-1212549
2.5352,-2.6838389579026893,Cs4Gd8Cl28,mp-1213349
2.4311000000000003,-1.5464752111046514,Fe7Sb10Br8O18,mp-1203691
1.3573999999999995,-2.0693631595238102,Ca2Ag2As2O8,mp-1213950
2.2451,-0.7247106410227279,Tl8Mo24Br56,mp-1217483
1.6935999999999996,-1.5183921656562491,Sm18Al10Se42,mp-1218878
2.5997000000000003,-1.5257503940905568,Cs10Re12S16Cl14,mp-1228296
0.3463000000000003,-1.1892235129096291,Ba8Eu1B6N12,mp-1228663
1.0162,-1.9846365164493536,Rb2Gd4Cu2S8,mp-12322
3.8989999999999996,-2.7741409578750003,K8Ta8Ge8O40,mp-14377
3.9066,-3.0729044870098043,Ho4Ni2B8O20,mp-16779
1.5441,-1.8357462282417387,Cs4Er12Se20,mp-17410
3.2482000000000006,-3.306418443142857,Na4Gd4Si4O16,mp-18515
5.8706999999999985,-2.6879459990520838,K4Er4S8O32,mp-18555
1.0707,-2.9294786734700002,Er4Mn4O14,mp-19256
1.2232000000000005,-2.387077205,Ba2Pb1O4,mp-20098
0.03000000000000025,-0.8393476540000009,Gd1Si2Ni2,mp-20956
3.9677,-2.4004224325935297,Cd4As8H4F52,mp-24302
1.3499,-2.488607747142857,Li4Co4P16O48,mp-26997
2.4813,-1.3091042343920465,Na16Ga8S20,mp-28773
0.6795,-0.7984730854218745,Na1Cr1Se2,mp-3332
3.2289999999999996,-2.5546054844936896,Ag1P1F6,mp-34418
1.3371000000000004,-2.351701190625,Y1Bi2Br1O4,mp-553243
